"SRP_occurrenceID","SRP_accession","SRP_imageURL","matchMethod","scientificName_SRP","family","collectorNumber","eventDate_SRP","collector","otherCollectors","country","stateProvince","county","locality","decimalLatitude","decimalLongitude","phenology","FotW_occurrenceID","scientificName_FotW","FotW_eventDate","FotW_recordNumber","FotW_recordedBy"
3523779,"75460","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075460.jpg","exact","Oxyria digyna","Polygonaceae","14248","2021-07-23","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","S Steens Mtn. Loop c. 20.6 km E of bridge at Donner and Blitzen River. Headwaters of Little Blitzen Riv.","118° 35\' 5.5"" W""","42.667789",NA,"a1020c61-d901-3d03-9d5c-1d48922300d2","Oxyria digyna","2021-07-23","Davidson 14248","C. M. Taylor"
3523794,"75475","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075475.jpg","num_only_unique_date","Polygonum polygaloides ssp. kelloggii","Polygonaceae","14269","2021-07-24","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","N Steens Mtn. Loop ca. 8.9 km S of Fish Lake Rd.","118° 34\' 33.7"" W""","42.703472",NA,"994a4963-6674-3601-a25d-fbfcc82fc3f8","Polygonum polygaloides","2021-07-22","Davidson 14269","R. Gereau"
3523812,"75493","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075493.jpg","exact","Platanthera dilatata var. leucostachys","Orchidaceae","14187","2021-07-22","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","[Locality and coordinates withheld]",NA,NA,NA,"5410ec39-8cbe-3b4a-94c7-dd8cd8e4b28c","Platanthera dilatata","2021-07-22","Davidson 14187","S. R. Christoph"
3523814,"75495","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075495.jpg","exact","Spiranthes romanzoffiana","Orchidaceae","14256","2021-07-24","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","[Locality and coordinates withheld]",NA,NA,NA,"1c90f5a5-a0e9-386a-bb6a-ef6a69a23e28","Spiranthes romanzoffiana","2021-07-24","Davidson 14256","R. Gereau"
3523815,"75496","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075496.jpg","exact","Calochortus macrocarpus","Liliaceae","14231","2021-07-23","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","S Steens Mtn. Loop c. 10.5 km E of bridge at Donner and Blitzen River.","118° 41\' 39.3"" W""","42.673333",NA,"c9bfdcae-260b-3ce3-92df-cf8924e02141","Calochortus macrocarpus","2021-07-23","Davidson 14231","C. M. Taylor"
3530203,"75327","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075327.jpg","exact","Townsendia florifera","Asteraceae","14123","2021-05-15","C. Davidson","S. Buerki","U.S.A.","Idaho","Owyhee","Junction of Bruneau Dunes Rd. and rd. to the Dunes observatory parking and north Dunes lake.","115° 41\' 33.4"" W""","42.904333",NA,"98f50eb4-e7a8-3c41-b761-eee4800bb2a3","Townsendia florifer","2021-05-15","Davidson, C 14123","S. Buerki"
3530215,"75339","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075339.jpg","exact","Malacothrix glabrata","Asteraceae","14124","2021-05-15","C. Davidson","S. Buerki","U.S.A.","Idaho","Owyhee","Junction of Bruneau Dunes Rd. and rd. to the Dunes observatory parking and north Dunes lake.","115° 41\' 33.4"" W""","42.904333",NA,"3139790a-cede-3d60-963a-a9ea64e96200","Malacothrix glabrata","2021-05-15","Davidson, C 14124","C. Davidson"
3530230,"75354","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075354.jpg","exact","Hymenoxys hoopesii","Asteraceae","14191","2021-07-22","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","N Steens Mtn. Loop ca. 25.8 km E of Frenchglen; 0.4 km W of Fish Lake rd.","118° 38\' 47.3"" W""","42.743111",NA,"ca6d6687-58a2-3f80-84e9-1a2804e94057","Hymenoxys hoopsii","2021-07-22","Davidson 14191","C. Davidson"
3530275,"75836","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075836.jpg","num_only_unique_date","Vaccinium cespitosum","Ericaceae","14164","2021-06-24","C. Davidson","S. R. Christoph, W. D. Stevens, O. M. Montiel","U.S.A.","Idaho","Valley","Ca. 40 km N of hwy 55 jct with Warren Wagon Rd., on WWRd to FSR 316 to Josephine Lake.","115° 56\' 6.6"" W""","45.220778",NA,"61825808-d19c-3ce1-9846-0eb520fbb5ed","Brunfelsia uniflora","2003-01-15","X.14-164B",""
3530291,"75852","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075852.jpg","exact","Boechera stricta","Brassicaceae","14273","2021-07-24","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","N Steens Mtn Loop ca. 5 km S of Fish Lake Rd. N side of road across from a small creek. through a boggy slope and meadow on S side of road.","118° 35\' 33.8"" W""","42.701556",NA,"a5097cd0-2f67-3445-9d4a-02c079456644","Boechera angustifolia","2021-07-24","Davidson 14273","C. M. Taylor"
3530328,"75889","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075889.jpg","exact","Micranthes oregana","Saxifragaceae","14188","2021-07-22","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","N Steens Mtn. Loop c. 25.8 km E of Frenchglen; & 0.4 km W of Fish Lake rd. SW of road.","118° 38\' 47.3"" W""","42.743111",NA,"c96f02a3-8123-38fd-8610-b8fa63d83743","Micranthes oregana","2021-07-22","Davidson 14188","C. M. Taylor"
3530472,"75911","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075911.jpg","exact","Sibbaldia procumbens","Rosaceae","14252","2021-07-23","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","S Steens Mtn. Loop c. 20.6 km E of bridge at Donner and Blitzen River. Headwaters of Little Blitzen Riv.","118° 35\' 5.5"" W""","42.667789",NA,"082a5d91-fbad-3591-aab0-cdfa16dae076","Sibbaldia procumbens","2021-07-23","Davidson 14252","R. Gereau"
3530491,"75931","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075931.jpg","exact","Dasiphora fruticosa","Rosaceae","14242","2021-07-23","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","S Steens Mtn. Loop ca. 16.5 km E of bridge at Donner and Blitzen River.","118° 35\' 34.2"" W""","42.669611",NA,"a7e6b002-a6e0-3b87-8a87-59494ddec96d","Dasiphora fruticosa","2021-07-23","Davidson 14242","R. Gereau"
3530495,"75935","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075935.jpg","exact","Holodiscus microphyllus","Rosaceae","14194","2021-07-22","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","N Steens Mtn. loop, ca. 28.7 km E of Frenchglen; 29 km S of Fish Lake Rd.","118° 37\' 40.8"" W""","42.720917",NA,"58915b84-6eaf-3821-86b0-8c0d88f98d6c","Holodiscus microphyllus","2021-07-22","Davidson 14194","R. Gereau"
3530496,"75936","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075936.jpg","exact","Potentilla douglasii var. capitata","Rosaceae","14213","2021-07-22","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","N Steens Mtn. Loop ca. 25 km E of Frenchglen; across from Fish Lake rd. Pate Lake.","118° 38\' 18"" W""","42.738583",NA,"8c86629d-e1a6-3a83-a95e-a0b696e9c1c2","Horkelia fusca","2021-07-22","Davidson 14213","C. Davidson"
3530497,"75937","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075937.jpg","exact","Potentilla gordonii","Rosaceae","14251","2021-07-23","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","S Steens Mtn. Loop c. 20.6 km E of bridge at Donner and Blitzen River. Headwaters of Little Blitzen Riv.","118° 35\' 5.5"" W""","42.667789",NA,"45f92313-2cca-33fd-9b9f-a1f28b0ba77d","Ivesia gordonii","2021-07-23","Davidson 14251","R. Gereau"
3530514,"75954","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075954.jpg","exact","Leptosiphon nuttallii","Polemoniaceae","14193","2021-07-22","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","N Steens Mtn. loop, ca. 28.7 km E of Frenchglen; 29 km S of Fish Lake Rd.","118° 37\' 40.8"" W""","42.720917",NA,"efbbcb4f-03b0-3441-87b0-af463aacc00d","Leptosiphon nuttallii","2021-07-22","Davidson 14193","C. Davidson"
3530519,"75959","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075959.jpg","exact","Navarretia sinistra","Polemoniaceae","14205","2021-07-22","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","N Steens Mtn. Loop ca. 30.5 km E of Frenchglen; 4.7 km SSE of Fish Lake Rd.","118° 36\' 53.5"" W""","42.711472",NA,"3ce6b82e-3d7c-3b91-bf19-f63ad7abd4f8","Navarretia sinistra","2021-07-22","Davidson 14205","C. M. Taylor"
3530536,"75976","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075976.jpg","exact","Penstemon acuminatus","Plantaginaceae","14125","2021-05-15","C. Davidson","C. Buerki","U.S.A.","Idaho","Owyhee","Junction of Bruneau Dunes Rd. and rd. to the Dunes observatory parking and north Dunes lake.","115° 41\' 33.4"" W""","42.904333",NA,"c02e2e9f-7ab7-3387-9598-20fce6706507","Penstemon acuminatus","2021-05-15","Davidson, C 14125","C. Davidson"
3530543,"75983","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075983.jpg","exact","Penstemon humilis","Plantaginaceae","14132","2021-06-01","C. Davidson","S. R. Christoph","U.S.A.","Idaho","Blaine","TNC Rock Creek Preserve, Rock Creek Rd., ca. 4.2 km N of highway 20. Slopes above and around Rock Cr.","114° 23\' 47.5"" W""","43.365917",NA,"1ab1d0f2-6caa-3845-b7bc-071b9eb1e498","Penstemon humilis","2021-06-01","C. Davidson 14132","C. Shafer"
