"SRP_occurrenceID","SRP_accession","SRP_imageURL","scientificName_SRP","family","collectorNumber","eventDate_SRP","collector","otherCollectors","country","stateProvince","county","locality","decimalLatitude","decimalLongitude","phenology","note"
3530479,"75918","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075918.jpg","Cercocarpus ledifolius var. intermontanus","Rosaceae","14198","2021-07-22","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","N Steens Mtn. loop, ca. 28.7 km E of Frenchglen; 29 km S of Fish Lake Rd.","118° 37\' 40.8"" W""","42.720917",NA,"collector_number_not_in_FotW_DB"
3530508,"75948","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075948.jpg","Ipomopsis congesta","Polemoniaceae","14145","2021-06-21","C. Davidson","S. R. Christoph, W. D. Stevens, O. M. Montiel","U.S.A.","Idaho","Boise","Along highway 21, FSR 316 west from Mores Creek Summit.","115° 40\' 12.5"" W""","43.926167",NA,"collector_number_not_in_FotW_DB"
NA,NA,"https://www.pnwherbaria.org/images/jpeg.php?Image=SRP    NA.jpg",NA,NA,NA,"NA-NA-NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"collector_number_not_in_FotW_DB"
3530542,"75982","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075982.jpg","Penstemon globosus","Plantaginaceae","14153","2021-06-21","C. Davidson","S. R. Christoph, W. D. Stevens, O. M. Montiel","U.S.A.","Idaho","Boise","Along hwy 21. FSR 316 west from Mores Creek Summit.","115° 40\' 4.7"" W""","43.931694",NA,"collector_number_not_in_FotW_DB"
3530547,"75987","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075987.jpg","Penstemon lyallii","Plantaginaceae","14179","2021-06-28","C. Davidson","S. R. Christoph, W. D. Stevens, O. M. Montiel","U.S.A.","Idaho","Benewah","19 km E on St. Joe River Rd. to Reeds Gulch Rd (FR 550), then 12 km N on FR 550.","116° 23\' 25.9"" W""","47.370917",NA,"collector_number_not_in_FotW_DB"
3530551,"75991","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075991.jpg","Penstemon payettensis","Plantaginaceae","14167","2021-06-26","C. Davidson","S. R. Christoph, W. D. Stevens, O. M. Montiel","U.S.A.","Idaho","Adams","Peak of Brundage Mtn.Trails north of the ski lift terminus.","115° 52\' 15.6"" W""","45.260889",NA,"collector_number_not_in_FotW_DB"
3530563,"76003","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP076003.jpg","Veronica rubra","Plantaginaceae","14143","2021-06-15","C. Davidson","S. R. Christoph","U.S.A.","Idaho","Boise","3 km NW of Idaho City on Centerville/Placerville Rd.","115° 51\' 33.6"" W""","43.848444",NA,"collector_number_not_in_FotW_DB"
3530574,"76014","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP076014.jpg","Epilobium glandulosum","Onagraceae","14267","2021-07-24","C. Davidson","C.M. Taylor, R. Gereau, S.R. Christoph","U.S.A.","Oregon","Harney","N Steens Mtn. Loop c. 7.1 km S of Fish Lake Rd.","118° 35\' 37.3"" W""","42.700639",NA,"collector_number_not_in_FotW_DB"
3530698,"76018","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP076018.jpg","Epilobium oregonense","Onagraceae","14265A","2021-07-24","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","N Steens Mtn. Loop c. 7.1 km S of Fish Lake Rd.","118° 35\' 37.3"" W""","42.700639",NA,"collector_number_not_in_FotW_DB"
3530702,"76022","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP076022.jpg","Epilobium brachycarpum","Onagraceae","14222","2021-07-23","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","S Steens Mtn. Loop c. 27 km E of Hwy 205 junction; bridge at Donner and Blitzen River.","118° 45\' 51.8"" W""","42.638306",NA,"collector_number_not_in_FotW_DB"
3530710,"76030","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP076030.jpg","Castilleja covilleana","Orobanchaceae","14156","2021-06-21","C. Davidson","S. R. Christoph, W. D. Stevens, O.. M. Montiel","U.S.A.","Idaho","Boise","Along highway 21, FSR 316 west from Mores Creek Summit.","115° 40\' 12.5"" W""","43.926167",NA,"collector_number_not_in_FotW_DB"
3530726,"76046","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP076046.jpg","Pedicularis bracteosa","Orobanchaceae","14177","2021-06-28","C. Davidson","S. R. Christoph, W. D. Stevens, O.. M. Montiel","U.S.A.","Idaho","Benewah","19 km E on St. Joe River Rd. to Reeds Gulch Rd. (FR 550), 11 km N on FR 550.","116° 23\' 10"" W""","47.362889",NA,"collector_number_not_in_FotW_DB"
NA,NA,"https://www.pnwherbaria.org/images/jpeg.php?Image=SRP    NA.jpg",NA,NA,NA,"NA-NA-NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"collector_number_not_in_FotW_DB"
3530754,"76074","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP076074.jpg","Nemophila parviflora","Hydrophyllaceae","14139","2021-06-05","C. Davidson","S. R. Christoph","U.S.A.","Idaho","Valley","Ca. 5 km N of hwy 55 jct with Warren Wagon Rd. Sylvan Beach Reservoir trail past horse stables.","116° 5\' 57.8"" W""","44.958722",NA,"collector_number_not_in_FotW_DB"
3530854,"76078","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP076078.jpg","Phacelia ramosissima","Hydrophyllaceae","14151","2021-06-21","C. Davidson","S. R. Christoph, W. D. Stevens, O. M. Montiel","U.S.A.","Idaho","Boise","Along hwy 12 ca. 12.5 km NE of Idaho city.","115° 43\' 27.2"" W""","43.889944",NA,"collector_number_not_in_FotW_DB"
3530855,"76079","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP076079.jpg","Plagiobothrys cognatus","Boraginaceae","14260","2021-07-24","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","N Steens Mtn. Loop, ca. 3.6 km S of Fish Lake Rd; then E on jeep track to a streamlet.","118° 36\' 58.6"" W""","42.716694",NA,"collector_number_not_in_FotW_DB"
3530856,"76176","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP076176.jpg","Penstemon payettensis","Plantaginaceae","14144","2021-06-15","C. Davidson","S. R. Christoph","U.S.A.","Idaho","Boise","10.7 km NW of Idaho City on Centerville/Placerville Rd.","115° 54\' 20.9"" W""","43.878889",NA,"collector_number_not_in_FotW_DB"
3530857,"76177","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP076177.jpg","Penstemon laxus","Plantaginaceae","14147","2021-06-15","C. Davidson","S. R. Christoph","U.S.A.","Idaho","Boise","NW of Idaho City 2.2 km W of Harris Cr. Rd. junction with /Centerville/Placerville Rd. Private area on Nelsen Rd.","115° 58\' 32.6"" W""","43.916167",NA,"collector_number_not_in_FotW_DB"
